                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.8255,                 1.2194,                 2.0791,                0.78291,                0.66567,                0.73559,                 0.5012,                 2.2546,                  1.641,                 2.3912,             0.00025512,             0.00025512,             0.00025512
                     83,                 1.7944,                 1.1873,                 2.0687,                0.78408,                0.66814,                0.74012,                 0.5048,                 2.2631,                 1.6044,                 2.3908,             0.00024877,             0.00024877,             0.00024877
                     84,                 1.8104,                  1.191,                 2.0736,                0.75594,                0.67903,                0.73419,                0.49999,                 2.2537,                 1.6229,                 2.3978,             0.00024243,             0.00024243,             0.00024243
                     85,                 1.8103,                 1.1641,                 2.0552,                 0.8052,                 0.6454,                0.73467,                 0.5003,                 2.2523,                 1.6398,                 2.3903,             0.00023608,             0.00023608,             0.00023608
                     86,                 1.7945,                 1.1575,                 2.0507,                0.77285,                0.66365,                0.73807,                0.50389,                 2.2494,                 1.6289,                 2.3932,             0.00022974,             0.00022974,             0.00022974
                     87,                 1.7908,                 1.1619,                 2.0556,                0.77569,                0.66832,                0.73227,                0.49913,                 2.2305,                 1.6335,                 2.4019,             0.00022339,             0.00022339,             0.00022339
                     88,                 1.7847,                 1.1317,                  2.045,                0.79701,                0.64635,                0.73929,                0.50175,                 2.2445,                 1.6388,                 2.4023,             0.00021705,             0.00021705,             0.00021705
                     89,                 1.7315,                 1.1252,                 2.0419,                0.81006,                0.65068,                0.73752,                0.50096,                 2.2426,                  1.632,                  2.394,             0.00021071,             0.00021071,             0.00021071
                     90,                 1.7429,                  1.117,                 2.0258,                0.78129,                0.67179,                0.74348,                0.50905,                 2.2322,                 1.6107,                 2.3867,             0.00020436,             0.00020436,             0.00020436
                     91,                 1.7753,                 1.1214,                 2.0418,                0.78169,                0.66229,                0.74254,                0.51097,                 2.2247,                 1.6069,                 2.3821,             0.00019802,             0.00019802,             0.00019802
